t,T
0.09999999999999987, -48.331537826682975
0.1999999999999995, -47.4117495580349
0.30000000000000004, -44.14343087633014
0.40000000000000013, -40.014192796571166
0.4999999999999998, -37.713975254067805
0.5999999999999994, -35.19410863252068
0.7, -33.04335853754445
0.7999999999999996, -31.675028342239344
0.8999999999999997, -29.945152908210716
0.9999999999999998, -28.746465065015315
1.0999999999999999, -27.63713930939825
1.1999999999999995, -26.934165839826278
1.3, -26.01015398784233
1.3999999999999997, -25.43962642325296
1.4999999999999998, -24.862519583901076
1.6000000000000003, -24.537124180329243
1.7, -24.255242201923238
1.8, -24.08948237248225
1.9000000000000006, -23.923796922720356
2, -23.722441454380203
2.0999999999999996, -23.813115575769217
2.200000000000001, -23.92419738188515
2.3000000000000007, -23.78002474222731
2.4000000000000012, -23.64279677780881
2.500000000000001, -23.54576380656519
2.6000000000000005, -23.353175364461208
2.7, -22.99765213797255
2.8000000000000016, -22.873950738545858
2.9000000000000004, -22.873951537245972
3.0000000000000018, -22.70822254481186
3.1000000000000014, -22.298193974146443
3.200000000000001, -22.376728060562584
3.3000000000000007, -22.155856153843445
3.400000000000002, -22.10152286924246
3.5000000000000018, -21.81280230108254
3.6000000000000014, -21.82426497883675
3.700000000000001, -21.650555501734658
3.8000000000000016, -21.49237207897795
3.9000000000000012, -21.404431813131282
4.000000000000001, -21.23250844685502
4.1000000000000005, -21.054452334010293
4.200000000000001, -20.94056696052192
4.300000000000001, -20.609105090497422
4.4, -20.43619103760875
4.5, -20.441946872188026
4.6, -19.991053443494025
4.699999999999999, -19.7992483930051
4.799999999999999, -19.724841231964504
4.899999999999998, -19.44289255901866
4.999999999999997, -19.420511046950224
5.099999999999997, -19.06210277665079
5.199999999999997, -18.967229282627926
5.299999999999996, -18.541066303502035
5.399999999999996, -18.230899875719558
5.499999999999996, -17.90563504482479
5.599999999999995, -17.73937315384623
5.699999999999995, -17.570279149895782
5.7999999999999945, -17.56987735536609
5.899999999999994, -17.756309506283017
5.999999999999994, -17.514573596372145
6.099999999999994, -17.571318952617474
6.199999999999994, -17.587856491063548
6.299999999999994, -17.570380155782814
6.399999999999993, -17.46761828321152
6.499999999999993, -17.242074735963683
6.5999999999999925, -17.01803464862118
6.699999999999992, -16.6737340815221
6.79999999999999, -16.23387499444307
6.89999999999999, -16.078119386381672
6.999999999999989, -15.80033334628888
7.099999999999989, -15.463177649692156
7.199999999999989, -15.029191334048448
7.299999999999988, -14.627654828842779
7.399999999999988, -14.288098018418935
7.499999999999988, -13.924195950339595
7.599999999999987, -13.498120423576552
7.699999999999987, -13.218013960468355
7.790600144613148, -12.916596965909278
7.899999999999988, -13.873557735838219
7.999999999999988, -14.023734985181761
8.099999999999987, -13.930853891913571
8.199999999999987, -13.88962929454489
8.299999999999986, -13.462888777027075
8.399999999999986, -13.239233121267333
8.499999999999986, -13.27025375284218
8.599999999999985, -12.55849294763162
8.699999999999983, -11.878740695284705
8.799999999999985, -11.572952322431078
8.899999999999983, -10.850078743074022
8.999999999999984, -10.166803975148028
9.099999999999982, -9.196133746109822
9.199999999999983, -8.494544642826128
9.299999999999981, -7.287824015576966
9.399999999999983, -6.1514889834942466
9.49999999999998, -4.724918479083414
9.599999999999982, -3.4191384267417533
9.69999999999998, -0.9592990499990961
9.79999999999998, 0.42254695775159234
9.899999999999979, 1.211220739049537
9.999999999999979, 3.4871659436958
10.099999999999978, 4.712823308962271
10.199999999999978, 6.35420151668751
10.29999999999998, 7.837266532334624
10.399999999999977, 10.394284190434021
10.499999999999979, 12.98982331255543
10.599999999999977, 16.04958146157916
10.699999999999978, 18.021798666753014
10.799999999999976, 20.90341636556822
10.899999999999977, 24.224863123708552
10.999999999999975, 29.85648825520036
11.099999999999977, 33.32324722907441
11.199999999999974, 35.869246964382185
11.299999999999976, 39.172701894653386
