# Date Created: 21-Feb-2023 (10:40:05),,,,
Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
782.4,-16.6,999,-20.3,-16.1
787.4,-16.4,999,-20.2,-16
792.3,-16.4,999,-20.1,-15.9
797.4,-16.3,999,-20,-15.8
802.4,-16.2,999,-20,-15.7
807.4,-16.2,999,-19.9,-15.6
812.4,-16.1,999,-19.9,-15.6
817.4,-16.1,999,-19.8,-15.4
822.4,-15.9,999,-19.7,-15.4
827.4,-15.8,999,-19.7,-15.3
832.5,-15.8,999,-19.6,-15.3
837.5,-15.7,999,-19.6,-15.2
842.5,-15.6,999,-19.4,-15
847.5,-15.5,999,-19.4,-15
852.5,-15.5,999,-19.3,-14.9
857.5,-15.4,999,-19.3,-14.8
862.5,-15.3,999,-19.2,-14.8
867.5,-15.3,999,-19.2,-14.6
872.6,-15.2,999,-19.1,-14.6
877.6,-15.1,999,-19,-14.5
882.6,-15.1,999,-19,-14.3
887.6,-15,999,-19,-14.3
892.6,-14.9,999,-18.8,-14.2
897.6,-14.8,999,-18.8,-14.1
902.7,-14.8,999,-18.7,-14.1
907.6,-14.7,999,-18.6,-14
912.7,-14.6,999,-18.6,-13.9
0.2,-35.2,999,-36.1,-35.4
5.2,-35.2,999,-36.1,-35.4
10.2,-35.2,999,-36.1,-35.5
15.2,-35.3,999,-36.1,-35.4
20.3,-35.3,999,-36.1,-35.4
25.3,-35.3,999,-36.1,-35.4
30.3,-35.3,999,-36.2,-35.5
35.3,-35.3,999,-36.2,-35.5
40.3,-35.4,999,-36.2,-35.5
45.3,-35.4,999,-36.2,-35.5
50.4,-35.4,999,-36.2,-35.6
55.4,-35.4,999,-36.2,-35.6
60.4,-35.4,999,-36.2,-35.7
65.4,-35.5,999,-36.2,-35.6
70.4,-35.5,999,-36.3,-35.7
75.4,-35.5,999,-36.3,-35.7
80.4,-35.5,999,-36.2,-35.7
85.4,-35.5,999,-36.3,-35.8
90.4,-35.5,999,-36.3,-35.8
95.5,-35.5,999,-36.4,-35.7
100.5,-35.6,999,-36.4,-35.8
105.5,-35.6,999,-36.3,-35.8
110.5,-35.5,999,-36.4,-35.8
115.5,-35.6,999,-36.3,-35.8
120.5,-35.6,999,-36.3,-35.8
125.6,-35.6,999,-36.4,-35.8
130.6,-35.5,999,-36.3,-35.8
135.6,-35.6,999,-36.3,-35.8
140.6,-35.6,999,-36.4,-35.8
145.6,-35.7,999,-36.3,-35.8
150.6,-35.6,999,-36.4,-35.7
155.6,-35.6,999,-36.3,-35.8
160.6,-35.6,999,-36.3,-35.8
165.6,-35.5,999,-36.2,-35.7
170.7,-35.5,999,-36.2,-35.7
175.7,-35.5,999,-36.2,-35.7
180.7,-35.5,999,-36.1,-35.7
185.7,-35.4,999,-36.1,-35.6
190.7,-35.3,999,-36,-35.5
195.7,-35.2,999,-35.8,-35.4
200.8,-35.1,999,-35.6,-35.3
205.8,-34.8,999,-35.4,-35.1
210.8,-34.6,999,-35.1,-34.6
215.8,-34.3,999,-34.8,-34.3
220.8,-34.1,999,-34.5,-34
225.8,-33.7,999,-34,-33.7
230.8,-33.4,999,-33.7,-33.4
235.8,-33.1,999,-33.3,-33.1
240.9,-32.7,999,-32.9,-32.8
245.9,-32.4,999,-32.5,-32.4
250.9,-32,999,-32.2,-32
255.9,-31.7,999,-31.9,-31.6
260.9,-31.2,999,-31.4,-31.3
265.9,-30.8,999,-31.1,-30.9
271,-30.5,999,-30.7,-30.3
275.9,-30,999,-30.4,-29.9
280.9,-29.8,999,-29.7,-29.6
285.9,-29.4,999,-29.4,-29.2
291,-29.1,999,-29,-28.8
296,-28.8,999,-28.6,-28.5
301,-28.4,999,-28.3,-28.1
306,-28,999,-27.9,-27.7
311,-27.6,999,-27.6,-27.4
316.1,-27.1,999,-27.1,-27
321.1,-26.7,999,-26.8,-26.6
326.1,-26.4,999,-26.4,-26.3
331.1,-26.1,999,-26.1,-25.7
336.1,-25.8,999,-25.6,-25.4
341.1,-25.6,999,-25.3,-25
346.1,-25.1,999,-24.9,-24.6
351.1,-24.8,999,-24.6,-24.3
356.2,-24.4,999,-24.3,-24
361.2,-24.2,999,-24,-23.6
366.2,-23.9,999,-23.7,-23.4
371.2,-23.5,999,-23.4,-23.1
376.3,-23.2,999,-23.1,-22.7
381.3,-22.7,999,-22.8,-22.3
386.3,-22.7,999,-22.5,-22.1
391.3,-22.1,999,-22.3,-21.6
396.3,-21.9,999,-22.1,-21.3
401.4,-21.7,999,-21.8,-20.9
406.4,-21.4,999,-21.4,-20.7
411.3,-21.2,999,-21.1,-20.4
416.4,-20.8,999,-20.8,-20.1
421.4,-20.6,999,-20.7,-19.8
426.4,-20.4,999,-20.4,-19.5
431.4,-20.1,999,-20.2,-19.3
436.5,-19.9,999,-20,-19
441.5,-19.7,999,-19.8,-18.8
446.5,-19.4,999,-19.6,-18.6
451.5,-19.2,999,-19.4,-18.3
456.5,-19,999,-19.2,-18
461.5,-18.8,999,-19,-17.8
466.5,-18.3,999,-18.8,-17.3
471.6,-18.2,999,-18.6,-17.2
476.5,-17.9,999,-18.4,-16.9
481.5,-17.7,999,-18.3,-16.7
486.6,-17.5,999,-18.1,-16.5
491.6,-17.4,999,-17.9,-16.2
496.6,-17.2,999,-17.7,-16
501.6,-17,999,-17.6,-15.8
506.6,-16.8,999,-17.4,-15.7
511.7,-16.7,999,-17,-15.5
516.7,-16.4,999,-16.9,-15.3
521.7,-16.3,999,-16.7,-15.1
526.6,-16.1,999,-16.6,-14.8
531.7,-16,999,-16.5,-14.8
536.7,-15.8,999,-16.3,-14.5
541.8,-15.7,999,-16.2,-14.3
546.7,-15.5,999,-16,-14.2
551.7,-15.4,999,-16,-14
556.8,-15.2,999,-15.8,-13.8
561.8,-15.1,999,-15.7,-13.7
566.8,-15,999,-15.5,-13.5
571.8,-14.8,999,-15.4,-13.3
576.8,-14.7,999,-15.3,-13
581.8,-14.5,999,-15.2,-12.9
586.9,-14.2,999,-15.1,-12.7
591.9,-14.1,999,-15,-12.6
596.9,-14,999,-14.8,-12.4
601.9,-13.8,999,-14.8,-12.3
606.9,-13.7,999,-14.6,-12.1
611.9,-13.7,999,-14.5,-12.1
616.9,-13.5,999,-14.4,-11.9
621.9,-13.4,999,-14.3,-11.8
627,-13.2,999,-14.2,-11.7
632,-13.2,999,-14.1,-11.5
637,-13.1,999,-14.1,-11.5
642,-13,999,-13.9,-11.3
647,-12.9,999,-13.8,-11.2
652.1,-12.7,999,-13.8,-11.1
657,-12.7,999,-13.7,-11
662,-12.5,999,-13.5,-10.9
667,-12.5,999,-13.5,-10.8
672,-12.4,999,-13.4,-10.7
677.1,-12.3,999,-13.3,-10.6
682.1,-12.2,999,-13.2,-10.4
687.1,-12.1,999,-13.1,-10.3
692.1,-12,999,-12.8,-10.2
697.1,-11.9,999,-12.7,-10.1
702.1,-11.8,999,-12.9,-10
707.2,-11.8,999,-12.6,-10
712.2,-11.7,999,-12.5,-9.8
717.2,-11.6,999,-12.5,-9.7
722.2,-11.5,999,-12.4,-9.7
727.2,-11.4,999,-12.3,-9.5
732.2,-11.3,999,-12.2,-9.4
737.2,-11.3,999,-12.2,-9.4
742.2,-11.2,999,-12.1,-9.3
747.2,-11.1,999,-12,-9.2
752.3,-11,999,-11.9,-8.9
757.3,-11,999,-11.9,-8.8
762.3,-10.9,999,-11.8,-8.8
767.3,-10.9,999,-11.7,-8.6
772.3,-10.7,999,-11.7,-8.5
777.3,-10.7,999,-11.6,-8.4
782.4,-10.7,999,-11.5,-8.4
787.3,-10.6,999,-11.5,-8.2
792.3,-10.5,999,-11.4,-8.2
797.4,-10.4,999,-11.4,-8.1
802.4,-10.4,999,-11.2,-8.1
807.4,-10.3,999,-11.1,-8
812.4,-10.2,999,-11.1,-7.9
817.4,-10.1,999,-11,-7.8
822.5,-10.1,999,-11,-7.7
827.5,-9.8,999,-11,-7.7
832.5,-9.9,999,-10.8,-7.6
837.5,-9.7,999,-10.8,-7.5
842.5,-9.6,999,-10.7,-7.4
847.5,-9.5,999,-10.7,-7.4
852.5,-9.5,999,-10.6,-7.3
857.5,-9.5,999,-10.5,-7.2
862.5,-9.4,999,-10.5,-7.2
867.5,-9.3,999,-10.5,-7.1
872.6,-9.2,999,-10.3,-7
877.6,-9.2,999,-10.3,-7
882.6,-9.1,999,-10.2,-7
887.6,-9.1,999,-10.2,-6.8
892.6,-9,999,-10.1,-6.8
897.7,-9,999,-10,-6.8
902.6,-8.9,999,-10,-6.7
907.7,-8.9,999,-10,-6.6
912.7,-8.8,999,-9.9,-6.5
917.7,-8.8,999,-9.9,-6.4
922.7,-8.7,999,-9.8,-6.4
927.7,-8.7,999,-9.7,-6.3
932.7,-8.6,999,-9.7,-6.2
937.8,-8.6,999,-9.6,-6.2
942.8,-8.5,999,-9.6,-6.1
947.8,-8.5,999,-9.5,-6.1
952.8,-8.4,999,-9.4,-6
957.8,-8.3,999,-9.4,-5.9
0.3,-29,999,-30.4,-29.5
5.3,-29,999,-30.2,-29.6
10.4,-29.1,999,-30.2,-29.6
15.3,-29.1,999,-30.5,-29.6
20.3,-29.2,999,-30.5,-29.7
25.4,-29.2,999,-30.5,-29.8
0.2,-29.9,999,-31.1,-30.6
5.2,-29.9,999,-31.1,-30.4
10.3,-29.9,999,-31.1,-30.7
15.2,-30,999,-31.2,-30.7
20.2,-30,999,-31.2,-30.8
