t,T
1.0000, -47.723
2.0000, -38.382
3.0000, -38.182
4.0000, -37.965
5.0000, -37.744
6.0000, -37.869
7.0000, -37.751
8.0000, -37.617
9.0000, -37.501
10.000, -37.524
11.000, -37.537
12.000, -37.090
13.000, -36.227
14.000, -33.915
15.000, -31.134
16.000, -24.227
17.000, -21.266
18.000, -20.270
19.000, -19.431
20.000, -19.524
21.000, -19.122
22.000, -19.155
23.000, -19.345
24.000, -19.082
25.000, -19.107
26.000, -19.155
27.000, -18.357
28.000, -16.506
29.000, -13.744
30.000, -11.171
31.000, -8.3981
32.000, -5.6786
33.000, -3.0841
34.000, 0.68048
35.000, 2.1828
36.000, 5.0746
37.000, 8.2635
38.000, 10.514
39.000, 13.674
