t,P
0, 28.87994529479748
0.10000000000000009, 28.87994529479748
0.20000000000000018, 28.91894185661728
0.30000000000000027, 28.91894185661728
0.3999999999999999, 28.91894185661728
0.5, 28.91894185661728
0.5999999999999996, 28.91894185661728
0.6999999999999997, 28.91894185661728
0.7999999999999998, 28.91894185661728
0.9000000000000004, 28.91894185661728
1, 28.91894185661728
1.1, 28.91894185661728
1.1999999999999997, 28.798224748408686
1.3000000000000003, 28.91894185661728
1.4, 29.039658964825875
1.5000000000000004, 28.798224748408686
1.6, 28.798224748408686
1.7000000000000006, 28.91894185661728
1.7999999999999998, 28.91894185661728
1.9000000000000012, 28.91894185661728
2.0000000000000004, 28.91894185661728
2.100000000000001, 28.91894185661728
2.2000000000000006, 28.91894185661728
2.3000000000000003, 33.8390097550883
2.400000000000001, 33.86834329316956
2.5000000000000013, 33.86834329316956
2.600000000000001, 33.817647762803816
2.7000000000000006, 33.86834329316956
2.800000000000001, 33.87410666072613
2.9000000000000017, 33.86834329316956
3.0000000000000013, 33.88580562927207
3.100000000000001, 33.881905973090085
3.2000000000000015, 33.86834329316956
3.300000000000002, 33.86834329316956
3.4000000000000017, 33.86834329316956
3.5000000000000013, 33.78068714579139
3.600000000000002, 33.86834329316956
3.7000000000000024, 33.99109634618554
3.800000000000002, 39.42133027076481
3.9000000000000026, 39.42133027076481
4.000000000000002, 39.42133027076481
4.100000000000001, 39.42133027076481
4.200000000000001, 39.42133027076481
4.300000000000001, 39.42133027076481
4.4, 39.42133027076481
4.5, 39.42133027076481
4.599999999999998, 39.42133027076481
4.699999999999999, 39.42133027076481
4.799999999999999, 39.42133027076481
4.899999999999999, 39.42133027076481
4.999999999999998, 39.42133027076481
5.099999999999998, 39.42133027076481
5.1999999999999975, 39.42133027076481
5.299999999999997, 39.42133027076481
5.399999999999997, 39.40573164603687
5.4999999999999964, 39.3609717166605
5.599999999999996, 44.37073170731706
5.699999999999994, 44.37073170731706
5.799999999999995, 44.37073170731706
5.899999999999995, 44.25001459910848
5.999999999999995, 44.37073170731706
6.099999999999994, 44.37073170731706
6.199999999999994, 44.25001459910848
6.299999999999994, 44.37073170731706
6.399999999999993, 44.37073170731706
6.499999999999993, 44.43888957378532
6.5999999999999925, 44.37073170731706
6.699999999999992, 44.37073170731706
6.799999999999992, 44.6064025561777
6.8999999999999915, 44.44855259752387
6.999999999999991, 44.43109026142136
7.099999999999991, 49.012404772358494
7.19999999999999, 49.01834037334787
7.29999999999999, 49.01834037334787
7.39999999999999, 49.01834037334787
7.499999999999989, 49.01834037334787
7.599999999999989, 49.01834037334787
7.699999999999989, 49.01834037334787
7.799999999999988, 49.01834037334787
7.899999999999988, 49.01834037334787
7.999999999999988, 49.01834037334787
8.099999999999987, 49.01834037334787
8.199999999999987, 49.01834037334787
8.299999999999986, 49.01834037334787
8.399999999999986, 49.01834037334787
8.499999999999986, 49.01834037334787
8.599999999999985, 49.01834037334787
8.699999999999985, 49.01834037334787
8.799999999999983, 49.01834037334787
8.899999999999986, 49.01834037334787
8.999999999999984, 49.01834037334787
9.099999999999984, 49.01834037334787
9.199999999999983, 49.01834037334787
9.299999999999983, 49.01834037334787
9.399999999999983, 49.01834037334787
9.49999999999998, 49.01834037334787
9.871314633821067, 39.46079494128273
