t,pch
0, 26.615180033728038
0.10000000000000009, 27.26886158428779
0.20000000000000018, 28.056724340010742
0.30000000000000027, 26.932888334959856
0.3999999999999999, 26.176413052363777
0.5, 24.95345425973673
0.6000000000000005, 24.95642387215047
0.6999999999999997, 24.070201088326314
0.7999999999999998, 23.702378461001157
0.8999999999999999, 22.84079118139785
1, 22.446272635574694
1.1, 22.246912218848284
1.1999999999999997, 21.942126565198468
1.3000000000000003, 21.639745923457124
1.4, 21.466651777441516
1.5000000000000004, 21.395967565300214
1.6, 21.278999595741784
1.7000000000000006, 21.14216890570447
1.8000000000000003, 20.994774974282123
1.9000000000000008, 20.846117280568592
2.0000000000000004, 20.705495303657713
2.100000000000001, 20.58220852264334
2.2000000000000006, 20.485556416619303
2.3000000000000003, 19.962372929537707
2.400000000000001, 20.67883352762206
2.5000000000000013, 20.59946847908403
2.600000000000001, 20.530655664192842
2.7000000000000006, 20.496841282559004
2.800000000000001, 20.618354177133256
2.9000000000000017, 20.502819306638038
3.0000000000000013, 20.3505605323326
3.100000000000001, 20.17498091191647
3.2000000000000015, 19.98948350308914
3.300000000000002, 19.80747136355012
3.4000000000000017, 19.642347550998927
3.500000000000002, 19.50751512313505
3.600000000000002, 18.711670988368773
3.7000000000000024, 18.119708220928736
3.800000000000002, 18.452174877975565
3.9000000000000026, 18.05375447831402
4, 18.130395215053255
4.100000000000001, 18.215753705591005
4.200000000000001, 18.302327523710964
4.300000000000001, 18.382614243196812
4.4, 18.449111437832208
4.5, 18.49431668140084
4.6, 18.094199856521016
4.6999999999999975, 17.98546134764345
4.799999999999999, 17.931108850486687
4.899999999999999, 17.954744176863485
4.999999999999998, 16.886907953519476
5.099999999999998, 16.89306355858635
5.1999999999999975, 16.901661465584866
5.299999999999997, 16.901783721413906
5.399999999999995, 16.901783916351327
5.4999999999999964, 16.94402820662127
5.599999999999996, 16.95798700865671
5.699999999999996, 16.91245764484011
5.799999999999995, 16.93343249128528
5.899999999999995, 16.96838504534412
5.999999999999995, 16.93012064079769
6.099999999999994, 16.894331982149204
6.199999999999994, 16.86900696686059
6.299999999999994, 16.84854597871766
6.399999999999993, 16.80858063879493
6.499999999999993, 16.759000083700258
6.5999999999999925, 16.704931230780275
6.699999999999992, 16.651500997381554
6.799999999999992, 16.603836300850695
6.8999999999999915, 16.567064058534307
6.999999999999991, 16.459711292750896
7.099999999999991, 15.65777661437263
7.19999999999999, 16.461694808352462
7.29999999999999, 16.413211189713785
7.39999999999999, 16.247390527766036
7.499999999999989, 16.04611752262526
7.599999999999989, 15.835744739932998
7.699999999999989, 15.642624745330778
7.799999999999988, 15.493110104460136
7.899999999999988, 15.365659142175517
7.999999999999988, 14.91934968854465
8.099999999999987, 14.538427811639835
8.199999999999987, 14.129257205860867
8.299999999999986, 13.760416988206977
8.399999999999986, 13.473479431989517
8.499999999999986, 13.269979663394714
8.599999999999984, 12.858063822229838
8.699999999999985, 12.491490444113417
8.799999999999985, 12.45402704252681
8.899999999999984, 12.363867658808822
8.999999999999984, 12.242832781264731
9.099999999999984, 12.104813021581847
9.199999999999983, 11.963698991447487
9.299999999999981, 11.525763209906252
9.399999999999983, 10.833001869406395
9.499999999999982, 9.87783912246163
9.599999999999982, 9.174745289644228
9.699999999999982, 8.26391633400089
9.799999999999981, 8.67361975173251
9.89999999999998, 8.64742816489052
9.999999999999982, 8.39827479911942
10.09999999999998, 7.960785511204449
10.19999999999998, 7.44115179336837
10.29999999999998, 7.353986656619661
