t,T
0, -40.32749755018334
0.10000000000000009, -39.11133785244526
0.20000000000000018, -37.89517815470718
0.3999999999999999, -38.171578086011294
0.5, -37.4529382646206
0.6000000000000005, -36.84485841575156
0.7000000000000006, -36.292058553143335
0.7999999999999998, -35.62869871801347
1, -34.59981970300319
1.0999999999999996, -34.13613908897128
1.2000000000000002, -33.970299130188806
1.2999999999999998, -33.804459171406336
1.4000000000000004, -33.47277925384141
1.5000000000000004, -33.47277925384141
1.6000000000000005, -33.36221928131977
1.7000000000000006, -33.1963793225373
1.8000000000000007, -33.1963793225373
1.9000000000000004, -33.030539363754826
2, -32.31189954236416
2.1000000000000005, -32.31189954236416
2.200000000000001, -31.869659652277562
2.3000000000000007, -31.75909967975592
2.4000000000000004, -31.095739844626053
2.500000000000001, -30.81933991332194
2.6000000000000014, -30.54293998201784
2.700000000000001, -30.37710002323537
2.8000000000000007, -30.54293998201784
2.9000000000000012, -30.2112600644529
3.0000000000000018, -30.2112600644529
3.1000000000000014, -30.10070009193126
3.200000000000001, -29.93486013314879
3.3000000000000016, -29.879580146887974
3.400000000000002, -29.879580146887974
3.5000000000000018, -29.773541267153917
3.6000000000000014, -29.773541267153917
3.700000000000002, -29.603180215583862
3.8000000000000025, -28.99510036671481
3.900000000000002, -28.829260407932352
4.000000000000003, -28.663420449149882
4.100000000000002, -28.55286047662824
4.200000000000001, -28.2211805590633
4.300000000000001, -28.000060614020015
4.4, -27.77894066897673
4.5, -27.61310071019426
4.6, -27.44726075141179
4.7, -27.115580833846863
4.8, -26.89446088880358
4.899999999999999, -26.562780971238638
4.999999999999998, -26.562780971238638
5.099999999999998, -25.9547011223696
5.1999999999999975, -25.678301191065486
5.299999999999997, -25.236061300978918
5.399999999999998, -24.764503241364437
5.499999999999997, -24.068399950320256
5.599999999999996, -23.135421823067674
5.699999999999996, -22.637901946720277
5.799999999999995, -22.361502015416164
5.899999999999995, -21.587582207764655
5.999999999999995, -21.03478234515643
6.099999999999994, -20.703102427591503
6.199999999999994, -19.933703712727578
6.299999999999994, -19.32110277107094
6.399999999999993, -18.60246294968026
6.499999999999993, -18.160223059593676
6.5999999999999925, -17.994383100811206
6.699999999999992, -17.386303251942167
6.799999999999992, -16.83350338933394
6.8999999999999915, -16.225423540464902
6.999999999999991, -15.893743622899976
7.099999999999991, -15.119823815248466
7.19999999999999, -13.627264186206261
7.29999999999999, -12.853344378554752
7.39999999999999, -11.9688645983816
7.499999999999989, -11.02910483194762
7.599999999999989, -9.591825189166258
7.699999999999989, -8.59678543647145
7.799999999999988, -7.094087815452902
7.899999999999988, -5.611666178387054
7.999999999999988, -4.119106549344856
8.099999999999987, -3.1793467829108835
8.199999999999987, -1.5209471950862294
8.299999999999986, 0.24801236526008807
8.399999999999986, 2.4039318294321532
8.499999999999986, 4.338731348560927
8.599999999999987, 7.213290634123673
8.699999999999985, 9.811449988382314
8.799999999999985, 13.017689191510001
8.899999999999984, 16.002808449594397
8.999999999999984, 18.7668077626355
9.099999999999985, 22.415286855849757
9.199999999999983, 25.289846141412514
9.299999999999985, 28.606645317061837
9.399999999999983, 31.647044561407053
9.499999999999982, 36.014163476012
9.599999999999982, 39.10422580742924
0.2927613941018774, -38.38421444527178
0.8991957104557646, -35.033507073715555
