Elapsed [s],T1 [C],T2 [C],T3 [C],T4 [C]
55940.76346,-37.7,999,-38.6,-38.3
55950.79126,-37.6,999,-38.6,-38.3
55960.81979,-37.6,999,-38.6,-38.3
55970.87897,-37.6,999,-38.6,-38.3
55980.89762,-37.6,999,-38.6,-38.3
55990.93696,-37.6,999,-38.6,-38.3
56000.97797,-37.6,999,-38.6,-38.3
56011.02168,-37.6,999,-38.6,-38.2
56021.06583,-37.6,999,-38.6,-38.3
56031.09367,-37.6,999,-38.6,-38.3
56041.10471,-37.6,999,-38.6,-38.3
56051.11587,-37.6,999,-38.6,-38.3
56061.12699,-37.6,999,-38.6,-38.3
56071.15394,-37.5,999,-38.6,-38.3
56081.19635,-37.6,999,-38.6,-38.3
56091.23941,-37.6,999,-38.6,-38.3
56101.24256,-37.6,999,-38.6,-38.3
56111.29319,-37.6,999,-38.6,-38.3
56121.32605,-37.6,999,-38.6,-38.3
56131.35467,-37.6,999,-38.6,-38.3
56141.38144,-37.6,999,-38.6,-38.3
56151.41006,-37.6,999,-38.6,-38.3
56161.43971,-37.6,999,-38.6,-38.3
56171.46716,-37.6,999,-38.6,-38.3
56181.49609,-37.6,999,-38.6,-38.3
56191.52435,-37.6,999,-38.6,-38.3
56201.55171,-37.6,999,-38.6,-38.3
56211.58108,-37.6,999,-38.6,-38.3
56221.60665,-37.6,999,-38.6,-38.3
56231.63697,-37.6,999,-38.6,-38.3
56241.67256,-37.6,999,-38.6,-38.3
56251.69898,-37.6,999,-38.6,-38.3
56261.71717,-37.6,999,-38.6,-38.3
56271.73219,-37.6,999,-38.6,-38.3
56281.74488,-37.6,999,-38.6,-38.2
56291.75639,-37.6,999,-38.6,-38.3
56301.76917,-37.6,999,-38.6,-38.3
56311.78944,-37.6,999,-38.6,-38.2
56321.81651,-37.6,999,-38.6,-38.2
56331.84882,-37.6,999,-38.6,-38.3
56341.85195,-37.6,999,-38.6,-38.3
56351.87368,-37.6,999,-38.6,-38.3
56361.91432,-37.6,999,-38.6,-38.2
56371.94209,-37.6,999,-38.6,-38.3
56381.96986,-37.6,999,-38.6,-38.3
56391.99697,-37.6,999,-38.6,-38.3
56402.04731,-37.6,999,-38.6,-38.3
56412.07456,-37.6,999,-38.6,-38.2
56422.08157,-37.6,999,-38.6,-38.3
56432.09435,-37.6,999,-38.6,-38.2
56442.12239,-37.6,999,-38.6,-38.3
56452.13434,-37.6,999,-38.6,-38.3
56462.16663,-37.6,999,-38.6,-38.3
56472.18626,-37.6,999,-38.6,-38.3
56482.20283,-37.6,999,-38.6,-38.3
56492.2168,-37.6,999,-38.6,-38.3
56502.2293,-37.6,999,-38.6,-38.3
56512.27318,-37.6,999,-38.6,-38.2
56522.31673,-37.6,999,-38.6,-38.3
56532.34505,-37.6,999,-38.6,-38.3
56542.37314,-37.6,999,-38.6,-38.3
56552.40213,-37.6,999,-38.6,-38.3
56562.43063,-37.6,999,-38.6,-38.3
56572.47233,-37.6,999,-38.6,-38.3
56582.51577,-37.6,999,-38.6,-38.3
56592.54569,-37.6,999,-38.6,-38.3
56602.57556,-37.6,999,-38.6,-38.3
56612.60178,-37.6,999,-38.6,-38.3
56622.62991,-37.6,999,-38.6,-38.3
56632.65556,-37.6,999,-38.6,-38.3
56642.68262,-37.6,999,-38.6,-38.3
56652.72665,-37.6,999,-38.6,-38.3
56662.73882,-37.6,999,-38.6,-38.3
56672.7502,-37.6,999,-38.6,-38.3
56682.77943,-37.6,999,-38.6,-38.3
56692.80672,-37.6,999,-38.6,-38.3
56702.82241,-37.6,999,-38.6,-38.3
56712.8427,-37.6,999,-38.6,-38.3
56722.88773,-37.6,999,-38.6,-38.3
56732.90239,-37.6,999,-38.6,-38.3
56742.94434,-37.6,999,-38.6,-38.3
56752.96997,-37.6,999,-38.6,-38.2
56762.99622,-37.6,999,-38.6,-38.3
56773.02355,-37.6,999,-38.6,-38.3
56783.05193,-37.6,999,-38.6,-38.3
56793.07961,-37.6,999,-38.6,-38.3
56803.12293,-37.6,999,-38.6,-38.3
56813.13385,-37.6,999,-38.6,-38.3
56823.16034,-37.6,999,-38.6,-38.3
56833.20398,-37.6,999,-38.6,-38.3
56843.22169,-37.6,999,-38.6,-38.3
56853.26053,-37.6,999,-38.6,-38.3
56863.28772,-37.6,999,-38.6,-38.3
56873.3152,-37.6,999,-38.6,-38.3
56883.34408,-37.6,999,-38.6,-38.3
56893.37297,-37.6,999,-38.6,-38.3
56903.40184,-37.6,999,-38.6,-38.3
56913.42974,-37.6,999,-38.6,-38.3
56923.45808,-37.6,999,-38.6,-38.3
56933.48628,-37.6,999,-38.6,-38.3
56943.5143,-37.6,999,-38.6,-38.3
56953.54101,-37.6,999,-38.6,-38.3
56963.55053,-37.6,999,-38.6,-38.2
56973.58723,-37.6,999,-38.6,-38.3
56983.61133,-37.6,999,-38.6,-38.3
56993.63914,-37.6,999,-38.6,-38.2
57003.66659,-37.6,999,-38.6,-38.3
57013.67722,-37.6,999,-38.6,-38.3
57023.68974,-37.6,999,-38.6,-38.3
57033.70155,-37.6,999,-38.6,-38.3
57043.72339,-37.6,999,-38.6,-38.3
57053.7595,-37.6,999,-38.6,-38.3
57063.77816,-37.6,999,-38.6,-38.3
57073.78202,-37.6,999,-38.6,-38.3
57083.82398,-37.6,999,-38.6,-38.3
57093.84827,-37.6,999,-38.6,-38.3
57103.87653,-37.6,999,-38.6,-38.3
57113.90449,-37.6,999,-38.6,-38.3
57123.93312,-37.6,999,-38.6,-38.2
57133.96098,-37.6,999,-38.6,-38.2
57143.99498,-37.6,999,-38.6,-38.3
57154.00077,-37.6,999,-38.6,-38.3
57164.02866,-37.6,999,-38.6,-38.3
57174.04483,-37.7,999,-38.6,-38.2
57184.05289,-37.6,999,-38.6,-38.3
57194.07533,-37.6,999,-38.6,-38.3
57204.09136,-37.6,999,-38.6,-38.3
57214.1328,-37.6,999,-38.6,-38.3
57224.15998,-37.6,999,-38.6,-38.3
57234.18731,-37.6,999,-38.6,-38.3
57244.2139,-37.6,999,-38.6,-38.3
57254.24223,-37.6,999,-38.6,-38.3
57264.25266,-37.6,999,-38.6,-38.3
57274.26434,-37.7,999,-38.6,-38.3
57284.30754,-37.7,999,-38.6,-38.2
57294.32156,-37.6,999,-38.6,-38.3
57304.34014,-37.6,999,-38.6,-38.3
57314.34318,-37.6,999,-38.6,-38.3
57324.37059,-37.6,999,-38.6,-38.3
57334.39789,-37.6,999,-38.6,-38.3
57344.42669,-37.6,999,-38.6,-38.3
57354.45576,-37.6,999,-38.6,-38.3
57364.49906,-37.6,999,-38.6,-38.3
57374.52806,-37.7,999,-38.6,-38.3
57384.55469,-37.6,999,-38.6,-38.3
57394.58163,-37.6,999,-38.6,-38.3
57404.61384,-37.6,999,-38.6,-38.3
57414.63636,-37.6,999,-38.6,-38.3
57424.67084,-37.6,999,-38.6,-38.3
57434.69987,-37.6,999,-38.6,-38.3
57444.7176,-37.6,999,-38.6,-38.3
57454.7685,-37.6,999,-38.6,-38.3
57464.79686,-37.6,999,-38.6,-38.3
57474.81973,-37.6,999,-38.6,-38.3
57484.83803,-37.6,999,-38.6,-38.3
57494.87214,-37.6,999,-38.6,-38.3
57504.90138,-37.6,999,-38.6,-38.3
57514.9038,-37.5,999,-38.6,-38.3
57524.91509,-37.6,999,-38.6,-38.2
57534.92732,-37.6,999,-38.6,-38.3
57544.9546,-37.6,999,-38.6,-38.3
57554.99661,-37.6,999,-38.6,-38.2
57565.04162,-37.7,999,-38.6,-38.3
57575.08617,-37.6,999,-38.6,-38.3
57585.13098,-37.6,999,-38.6,-38.3
57595.17562,-37.6,999,-38.6,-38.2
57605.20333,-37.6,999,-38.6,-38.3
57615.22732,-37.7,999,-38.6,-38.3
57625.25882,-37.6,999,-38.6,-38.3
57635.28558,-37.6,999,-38.6,-38.3
57645.31132,-37.6,999,-38.6,-38.3
57655.32929,-37.6,999,-38.6,-38.3
57665.35545,-37.6,999,-38.6,-38.3
57675.3634,-37.6,999,-38.6,-38.3
57685.39805,-37.6,999,-38.6,-38.3
57695.40573,-37.6,999,-38.6,-38.3
57705.43521,-37.6,999,-38.6,-38.3
57715.46221,-37.6,999,-38.6,-38.3
57725.47369,-37.6,999,-38.6,-38.3
57735.485,-37.6,999,-38.6,-38.3
57745.51277,-37.5,999,-38.6,-38.3
57755.55447,-37.6,999,-38.6,-38.3
57765.56544,-37.6,999,-38.6,-38.3
57775.59324,-37.6,999,-38.6,-38.3
57785.6367,-37.6,999,-38.6,-38.3
57795.64928,-37.6,999,-38.6,-38.3
57805.6552,-37.6,999,-38.6,-38.3
57815.68121,-37.6,999,-38.6,-38.3
57825.70958,-37.6,999,-38.6,-38.3
57835.75167,-37.6,999,-38.6,-38.3
57845.76591,-37.6,999,-38.6,-38.3
57855.81741,-37.6,999,-38.6,-38.3
57865.82362,-37.6,999,-38.6,-38.3
57875.85207,-37.6,999,-38.6,-38.3
57885.89371,-37.6,999,-38.6,-38.3
57895.92226,-37.6,999,-38.6,-38.3
57905.93751,-37.6,999,-38.6,-38.3
57915.97413,-37.6,999,-38.6,-38.3
57925.99386,-37.6,999,-38.6,-38.3
57936.03285,-37.6,999,-38.6,-38.3
57946.06071,-37.6,999,-38.6,-38.3
57956.0883,-37.6,999,-38.6,-38.3
57966.0997,-37.6,999,-38.6,-38.3
57976.10978,-37.6,999,-38.6,-38.3
57986.1496,-37.6,999,-38.6,-38.3
57996.18079,-37.6,999,-38.6,-38.3
58006.22305,-37.6,999,-38.6,-38.3
58016.24964,-37.6,999,-38.6,-38.3
58026.27625,-37.6,999,-38.6,-38.3
58036.30216,-37.6,999,-38.6,-38.2
58046.32083,-37.6,999,-38.6,-38.3
58056.32303,-37.6,999,-38.6,-38.3
58066.35106,-37.6,999,-38.6,-38.3
58076.39024,-37.6,999,-38.6,-38.4
58086.41925,-37.7,999,-38.6,-38.6
58096.4458,-37.7,999,-38.7,-38.6
58106.47209,-37.7,999,-38.7,-38.8
58116.50033,-37.7,999,-38.9,-38.8
58126.52894,-37.8,999,-39,-38.9
58136.55529,-37.8,999,-38.7,-38.9
58146.58444,-37.8,999,-38.7,-39
58156.59433,-37.8,999,-38.8,-39
58166.60723,-37.9,999,-38.8,-39.1
58176.63006,-37.9,999,-39.1,-39.1
58186.65701,-37.9,-29.3,-38.8,-39.1
58196.686,-37.9,999,-38.8,-39
58206.71373,-38,999,-39,-39.1
58216.74992,-38,999,-39.1,-39.1
58226.77174,-38,999,-38.9,-39.1
58236.80005,-38.1,999,-39.1,-39.1
58246.82645,-38,999,-38.9,-39.1
58256.85431,-38.1,999,-39.1,-39.3
58266.88823,-38.1,999,-38.9,-39.2
